attribute,group,n,auc
age_group,45_65,209,0.8745152354570638
age_group,Unknown,1,
age_group,over_65,300,0.7587453358208956
age_group,under_45,120,0.9915254237288136
ethnicity,African American,61,0.5593220338983051
ethnicity,Asian,5,
ethnicity,Caucasian,506,0.841594827586207
ethnicity,Hispanic,29,
ethnicity,Native American,7,
ethnicity,Other/Unknown,18,
ethnicity,Unknown,4,
gender,Female,250,0.8464209401709402
gender,Male,380,0.8318493420534238
region,Midwest,196,0.7646069777217318
region,Northeast,42,0.8026315789473684
region,South,180,0.8905050505050505
region,Unknown,55,0.858974358974359
region,West,157,0.8345323741007195
