attribute,window_id,gap
ethnicity,0,
ethnicity,1,
ethnicity,2,
ethnicity,3,
ethnicity,4,
ethnicity,5,
gender,0,0.41787941787941796
gender,1,0.025740025740025763
gender,2,0.05476624165148747
gender,3,0.6091269841269842
gender,4,0.09617794486215536
gender,5,0.8017857142857143
age_group,0,0.6551724137931034
age_group,1,0.11692794850498334
age_group,2,0.170940170940171
age_group,3,0.12045454545454548
age_group,4,0.019995605361459057
age_group,5,0.1606856455493183
region,0,0.5436507936507936
region,1,0.17724867724867732
region,2,0.10185185185185186
region,3,0.2190152801358234
region,4,0.16666666666666663
region,5,0.49
