attribute,window_id,gap
ethnicity,0,
ethnicity,1,
ethnicity,2,
ethnicity,3,
ethnicity,4,
ethnicity,5,
gender,0,0.10893970893970883
gender,1,0.057351994851994936
gender,2,0.050910746812386165
gender,3,0.24404761904761907
gender,4,0.11403508771929827
gender,5,0.7214285714285714
age_group,0,0.4137931034482759
age_group,1,0.15661337209302328
age_group,2,0.11965811965811979
age_group,3,0.027272727272727337
age_group,4,0.019775873434409896
age_group,5,0.23529804865009352
region,0,0.20238095238095233
region,1,0.16137566137566128
region,2,0.08641975308641969
region,3,0.1557894736842106
region,4,0.16666666666666663
region,5,0.5
