attr1,group1,attr2,group2,n,n_eff,auc_subgroup,auc_overall,gap_vs_overall,score
age_group,over_65,region,Midwest,87,16.0,0.5965189873417722,0.8381347895752265,0.24161580223345425,0.966463208933817
gender,Female,age_group,over_65,115,16.0,0.6787383177570093,0.8381347895752265,0.15939647181821714,0.6375858872728686
gender,Female,region,Northeast,21,2.0,0.4,0.8381347895752265,0.43813478957522645,0.6196161615647674
ethnicity,African American,gender,Male,36,4.0,0.5294117647058824,0.8381347895752265,0.3087230248693441,0.6174460497386882
ethnicity,Caucasian,age_group,over_65,256,52.0,0.7645484949832776,0.8381347895752265,0.07358629459194888,0.5306383166453402
ethnicity,African American,region,South,39,4.0,0.5945945945945946,0.8381347895752265,0.24354019498063184,0.4870803899612637
ethnicity,African American,age_group,45_65,30,4.0,0.6071428571428572,0.8381347895752265,0.23099193243236926,0.4619838648647385
gender,Female,region,Midwest,73,6.0,0.6571428571428571,0.8381347895752265,0.18099193243236933,0.4433378820195947
age_group,over_65,region,West,87,26.000000000000004,0.7525987525987525,0.8381347895752265,0.08553603697647394,0.43614992165843464
ethnicity,Caucasian,region,Midwest,169,26.0,0.7830374753451677,0.8381347895752265,0.055097314230058814,0.2809422804056233
gender,Male,age_group,45_65,122,24.0,0.7878787878787878,0.8381347895752265,0.050256001696438624,0.2462031213374408
gender,Male,age_group,over_65,185,48.0,0.8035714285714286,0.8381347895752265,0.034563361003797866,0.23946198935569094
ethnicity,Caucasian,region,West,132,24.0,0.7958333333333334,0.8381347895752265,0.042301456241893076,0.20723396633861704
gender,Male,region,Midwest,123,20.0,0.7929203539823009,0.8381347895752265,0.045214435592925595,0.20220510310013529
age_group,45_65,region,South,67,16.0,0.7902542372881356,0.8381347895752265,0.04788055228709087,0.1915222091483635
age_group,over_65,region,Northeast,28,6.0,0.76,0.8381347895752265,0.07813478957522646,0.1913903656190392
age_group,over_65,region,Unknown,29,4.0,0.7777777777777778,0.8381347895752265,0.06035701179744868,0.12071402359489736
ethnicity,Caucasian,region,Northeast,42,8.0,0.8026315789473684,0.8381347895752265,0.035503210627858106,0.10041824395541109
ethnicity,Caucasian,gender,Female,208,26.0,0.8201183431952663,0.8381347895752265,0.018016446379960138,0.09186621165701482
gender,Male,region,Unknown,26,2.0,0.8,0.8381347895752265,0.038134789575226424,0.053930736615529336
gender,Male,region,South,98,20.0,0.8272727272727273,0.8381347895752265,0.010862062302499198,0.04857661936845219
gender,Male,region,West,112,26.0,0.83993783993784,0.8381347895752265,-0.001803050362613523,-0.0091937889829569
ethnicity,Caucasian,region,Unknown,43,6.0,0.8583333333333334,0.8381347895752265,-0.020198543758106924,-0.04947612575464009
gender,Female,region,Unknown,29,4.0,0.8703703703703703,0.8381347895752265,-0.03223558079514388,-0.06447116159028776
ethnicity,Caucasian,gender,Male,298,58.0,0.8492500961415204,0.8381347895752265,-0.011115306566293892,-0.08465165281101353
gender,Female,region,West,45,10.0,0.87,0.8381347895752265,-0.03186521042477353,-0.10076664306282589
gender,Male,region,Northeast,21,6.0,0.9074074074074074,0.8381347895752265,-0.06927261783218097,-0.16968256683566635
age_group,under_45,region,West,36,2.0,0.9714285714285714,0.8381347895752265,-0.13329378185334495,-0.18850587407700117
gender,Male,age_group,under_45,73,2.0,0.9861111111111112,0.8381347895752265,-0.1479763215358847,-0.20927012082613006
age_group,under_45,region,South,43,2.0,1.0,0.8381347895752265,-0.16186521042477353,-0.22891197585908962
gender,Female,age_group,under_45,47,2.0,1.0,0.8381347895752265,-0.16186521042477353,-0.22891197585908962
age_group,45_65,region,Midwest,84,10.0,0.9113924050632911,0.8381347895752265,-0.07325761548806464,-0.2316609208951119
age_group,45_65,region,West,34,8.0,0.9333333333333333,0.8381347895752265,-0.09519854375810688,-0.26926214340176663
ethnicity,Hispanic,gender,Male,24,4.0,0.9772727272727273,0.8381347895752265,-0.13913793769750082,-0.27827587539500165
ethnicity,Caucasian,age_group,45_65,161,31.999999999999996,0.8965517241379309,0.8381347895752265,-0.05841693456270447,-0.33045608452335307
ethnicity,Caucasian,region,South,120,20.0,0.9136363636363637,0.8381347895752265,-0.07550157406113722,-0.3376533040178754
gender,Female,region,South,82,10.0,0.9896103896103896,0.8381347895752265,-0.15147560003516314,-0.479007906051797
age_group,over_65,region,South,69,12.0,0.9788359788359787,0.8381347895752265,-0.14070118926075226,-0.48740321696997474
gender,Female,age_group,45_65,87,14.0,0.9785714285714285,0.8381347895752265,-0.14043663899620207,-0.5254657876738448
