attr1,group1,attr2,group2,n,n_eff,auc_subgroup,auc_overall,gap_vs_overall,score
age_group,over_65,region,Midwest,87,16.0,0.5965189873417722,0.8381347895752265,0.24161580223345425,0.966463208933817
gender,Female,age_group,over_65,115,16.0,0.6787383177570093,0.8381347895752265,0.15939647181821714,0.6375858872728686
gender,Female,region,Northeast,21,2.0,0.4,0.8381347895752265,0.43813478957522645,0.6196161615647674
ethnicity,African American,gender,Male,36,4.0,0.5294117647058824,0.8381347895752265,0.3087230248693441,0.6174460497386882
ethnicity,Caucasian,age_group,over_65,256,52.0,0.7645484949832776,0.8381347895752265,0.07358629459194888,0.5306383166453402
ethnicity,African American,region,South,39,4.0,0.5945945945945946,0.8381347895752265,0.24354019498063184,0.4870803899612637
ethnicity,African American,age_group,45_65,30,4.0,0.6071428571428572,0.8381347895752265,0.23099193243236926,0.4619838648647385
gender,Female,region,Midwest,73,6.0,0.6571428571428571,0.8381347895752265,0.18099193243236933,0.4433378820195947
age_group,over_65,region,West,87,26.000000000000004,0.7525987525987525,0.8381347895752265,0.08553603697647394,0.43614992165843464
ethnicity,Caucasian,region,Midwest,169,26.0,0.7830374753451677,0.8381347895752265,0.055097314230058814,0.2809422804056233
gender,Male,age_group,45_65,122,24.0,0.7878787878787878,0.8381347895752265,0.050256001696438624,0.2462031213374408
gender,Male,age_group,over_65,185,48.0,0.8035714285714286,0.8381347895752265,0.034563361003797866,0.23946198935569094
ethnicity,Caucasian,region,West,132,24.0,0.7958333333333334,0.8381347895752265,0.042301456241893076,0.20723396633861704
gender,Male,region,Midwest,123,20.0,0.7929203539823009,0.8381347895752265,0.045214435592925595,0.20220510310013529
age_group,45_65,region,South,67,16.0,0.7902542372881356,0.8381347895752265,0.04788055228709087,0.1915222091483635
age_group,over_65,region,Northeast,28,6.0,0.76,0.8381347895752265,0.07813478957522646,0.1913903656190392
age_group,over_65,region,Unknown,29,4.0,0.7777777777777778,0.8381347895752265,0.06035701179744868,0.12071402359489736
ethnicity,Caucasian,region,Northeast,42,8.0,0.8026315789473684,0.8381347895752265,0.035503210627858106,0.10041824395541109
ethnicity,Caucasian,gender,Female,208,26.0,0.8201183431952663,0.8381347895752265,0.018016446379960138,0.09186621165701482
gender,Male,region,Unknown,26,2.0,0.8,0.8381347895752265,0.038134789575226424,0.053930736615529336
gender,Male,region,South,98,20.0,0.8272727272727273,0.8381347895752265,0.010862062302499198,0.04857661936845219
gender,Male,region,West,112,26.0,0.83993783993784,0.8381347895752265,-0.001803050362613523,-0.0091937889829569
ethnicity,Caucasian,region,Unknown,43,6.0,0.8583333333333334,0.8381347895752265,-0.020198543758106924,-0.04947612575464009
gender,Female,region,Unknown,29,4.0,0.8703703703703703,0.8381347895752265,-0.03223558079514388,-0.06447116159028776
ethnicity,Caucasian,gender,Male,298,58.0,0.8492500961415204,0.8381347895752265,-0.011115306566293892,-0.08465165281101353
